,smiles,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
14,C=CC(C)(C)c1cc(C=CC(=O)c2ccc(O)cc2)c(OC)cc1O,0,0,0,0,0,-1,0,0,0,0,0
15,Cc1cc(C)c(O)c(C(C)(C)C)c1,0,0,0,0,0,0,0,0,0,0,0
16,CCC(C)(C#N)N=NC(C)(C#N)CC,0,0,0,0,0,0,0,-1,-1,0,0
17,CN1CCC2=C(C1)C(c1ccccc1)c1ccccc12,0,0,0,0,0,-1,0,0,0,0,0
18,Cc1cccc(C)c1NC1=NCCCS1,0,-1,0,0,0,-1,1,-1,-1,0,0
19,Cc1ccc(N)cc1C,0,0,0,0,0,0,0,-1,-1,0,0
20,N#Cc1ccc(=NCCNCC(=O)N2CCC[C@H]2C#N)[nH]c1,0,0,0,0,0,-1,0,0,0,0,0
21,c1ccc2ccccc2c1,0,0,0,0,0,0,0,-1,-1,0,0
22,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.[Cl],0,0,0,0,0,0,-1,0,0,0,0
23,CC1CCC(O)C/C1=C\C=C1/CCCC2(C)C1CCC2C(C)/C=C/C(C)C(C)C,0,0,0,0,0,-1,0,0,0,0,0
24,CN1CCN(CC(=O)N2c3ccccc3C(O)=Nc3cccnc32)CC1,0,0,0,0,0,0,1,-1,-1,0,0
25,NS(=O)(=O)c1cc(C2(O)N=C(O)c3ccccc32)ccc1Cl,-1,-1,0,1,-1,0,-1,-1,-1,-1,0
26,O=C(O)CCCC[C@H]1CCSS1,0,0,0,0,0,-1,0,0,0,0,0
27,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,-1,-1,0,1,1,-1,0,-1,-1,1,0
28,Cc1cnc(-c2c[nH]c(=NCCN=c3ccc(C#N)c[nH]3)nc2-c2ccc(Cl)cc2Cl)[nH]1,0,0,0,0,0,-1,0,0,0,0,0
29,C1CN2CCN1CC2,0,0,0,0,0,0,0,-1,-1,0,0
30,COc1cccc(C[NH2+]C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)N=C(O)c2cc(/C(C)=N\OCc3ccccc3)cc(N(C)S(C)(=O)=O)c2)c1,0,0,1,0,0,0,0,0,0,0,0
31,COc1cccc(CN2CCC(C(=N)O)CC2)c1,0,0,0,0,0,0,0,0,0,0,-1
32,CN1C(C(O)=Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,0,0,0,0,0,-1,0,0,0,0,0
33,O=C1C=CC(=O)C=C1,0,0,0,0,0,0,0,-1,-1,0,0
34,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,0,0,0,0,0,-1,0,0,0,0,0
35,O=C1Oc2ccccc2C(=O)C1CC1C(=O)Oc2ccccc2C1=O,0,0,0,0,0,0,0,1,1,0,0
36,CCCCN=C(O)[C@H](C)C[C@H](O)[C@H](CC(C)C)N=C(O)[C@H](CCSC)N=C(O)[C@H](CC(C)C)N=C(C)O,0,0,1,0,0,0,0,0,0,0,0
37,COC(=O)CC(C)=O,0,0,0,0,0,0,0,-1,-1,0,0
38,OCCN1CCCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0,0,0,0,0,0,1,0,0,0,0
39,OCC1(CO)COC(C(Cl)(Cl)Cl)OC1,0,0,0,0,0,0,1,-1,-1,0,0
40,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CCl,0,0,0,0,0,0,0,1,-1,0,0
41,Br.CO[C@H]1CC=C2CCN3CCC4=C(CC(=O)OC4)[C@]23C1,0,0,0,0,0,-1,0,0,0,0,0
42,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,0,0,0,0,0,0,0,0,-1,0,0
43,COC(O)=NCCC[Si](OC)(OC)OC,0,0,0,0,0,0,0,-1,-1,0,0
44,Br.COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,0,-1,0,0,0,0,0,0,0,0,0
45,CNCC(O)c1cccc(OC(=O)C(C)(C)C)c1,0,0,0,0,0,0,-1,0,0,0,0
46,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(CO)C(O)C(O)C1O)C3,0,0,0,0,0,0,0,-1,-1,0,0
47,CC(C)(C)OC(=O)c1cccc(N)c1,0,0,0,0,0,0,0,0,-1,0,0
48,CCCN(CCC)C(=O)c1cc(C)cc(C(O)=N[C@@H](Cc2cc(F)cc(F)c2)[C@@H](O)C[NH2+]Cc2cccc(OC)c2)c1,0,0,-1,0,0,0,0,0,0,0,0
49,OC(=Nc1cccc(-c2cccc(N3CCCC3)n2)c1)Nc1ccc(Cl)cc1,0,0,0,0,0,-1,0,0,0,0,0
50,CC(O)=NCCO,0,0,0,0,0,0,0,-1,-1,0,0
51,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,-1,0,0,-1,-1,-1,1,0,-1,0,0
52,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0,0,0,0,0,0,0,1,-1,0,0
53,CCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,0,0,0,0,0,0,0,-1,-1,0,0
54,C#CCC(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-1,0,0,1,1,-1,0,0,0,0,0
55,Cn1cc(CNC(=O)c2ccco2)cn1,0,0,0,0,0,0,0,0,0,0,-1
56,COc1ccc(CC(=O)N2CCN(C(C)=O)C[C@@H]2CN2CC[C@@H](O)C2)cc1,0,0,0,0,0,0,-1,0,0,0,0
57,Cc1ccc(C)c(O)c1C,0,0,0,0,0,0,0,-1,-1,0,0
58,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(=N)O)c4)cc2OCC3)n(C(C)C)n1,0,0,0,0,0,-1,0,0,0,0,0
59,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N/OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,0,0,0,0,0,0,-1,0,0,0,0
60,CC(C)(C)c1ccc(CCOc2ncnc3ccccc23)cc1,0,0,0,0,0,0,0,-1,-1,0,0
61,O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1O,0,0,0,0,0,0,0,-1,-1,0,0
62,OCCN(CCO)c1cccc(Cl)c1,0,0,0,0,0,0,0,-1,-1,0,0
63,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,0,0,0,0,0,-1,0,0,0,0,0
64,CCC1(c2ncc[nH]2)Cc2ccccc2O1,0,0,0,0,0,-1,0,0,0,0,0
65,N=c1ncn(C2CC(O)C(CO)O2)c(O)n1,0,0,0,0,1,0,0,-1,1,0,0
66,CCC(C)C(CC)C(=N)O,0,0,0,0,0,-1,1,0,0,0,0
67,NNCCc1ccccc1.O=S(=O)(O)O,0,-1,0,0,0,-1,1,0,0,0,0
68,CN(C)Cc1ccc(CSCCN/C(=C\[N+](=O)[O-])NCc2ccc3c(c2)OCO3)o1,1,0,0,-1,0,0,0,0,0,0,0
69,O=C1OC2(c3cc([131I])c([O-])c([131I])c3Oc3c2cc([131I])c([O-])c3[131I])c2c(Cl)c(Cl)c(Cl)c(Cl)c21,0,0,0,0,0,0,0,0,0,-1,0
70,CCOC(O)=NC(C)(C)Cc1ccc(Cl)cc1,0,0,0,0,0,0,0,-1,-1,0,0
71,C[NH+](C)CCCN1c2ccccc2Sc2ccccc21,0,0,0,0,0,0,0,0,0,-1,0
72,CC(C)NC[C@@H](O)COc1ccc(COCCOC(C)C)cc1,0,0,0,0,0,-1,0,0,0,0,0
73,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)[nH]c(=N)c2cc1OC.Cl.O.O,0,0,0,0,0,-1,0,0,0,0,0
74,CCCN(CCC)C(=O)c1cc(C(C)=O)cc(C(O)=NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c1,0,0,1,0,0,0,0,0,0,0,0
75,COC(=O)CCCC(=O)O,0,0,0,0,0,0,0,0,-1,0,0
76,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,0,0,0,0,0,0,0,0,-1,0,0
77,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,0,-1,0,0,0,-1,0,0,0,0,0
78,CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,-1,0,0,-1,-1,0,0,-1,-1,0,0
79,COc1c(C)cc(C2(c3cccc(-c4cncnc4)c3)NC(=N)c3c(F)cccc32)cc1C#N,0,0,1,0,0,0,0,0,0,0,0
80,N=C(O)C[C@H](N)C(=O)O,0,0,0,0,0,-1,0,0,0,0,0
81,CC(C)(OO)c1ccccc1,0,0,0,0,0,0,0,-1,-1,0,0
82,CCCCC(CC)COC(=O)COc1cc(Cl)c(Cl)cc1Cl,0,0,0,0,0,0,0,-1,-1,0,0
83,CC1CCC2(OC1)OC1CC3C4CCC5CC(O)CCC5(C)C4CC(=O)C3(C)C1C2C,0,0,0,0,0,0,0,-1,-1,0,0
84,CC(C)CN=C(O)[C@H](C)C[C@H](O)[C@H](CC(C)C)N=C(O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)c1ccc([N+](=O)[O-])cc1,0,0,-1,0,0,0,0,0,0,0,0
85,O=C1OC(c2ccc(O)c(S(=O)(=O)O)c2)(c2ccc(O)c(S(=O)(=O)O)c2)c2c(Br)c(Br)c(Br)c(Br)c21,0,0,0,0,0,0,0,-1,-1,0,0
86,CN1C(=N)N[C@@](c2ccccc2)(c2ccc(OC(F)(F)F)cc2)C1=O,0,0,-1,0,0,0,0,0,0,0,0
87,CCN(CC)C(=O)N1CCN(CCCc2nc3c(c(=O)n(C)c(=O)n3C)n2C)CC1,0,0,0,0,0,0,1,0,0,0,0
88,CCCCC(=O)OCC(=O)C1C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0,0,0,0,0,0,0,-1,-1,0,0
89,CC(C)=CCC1C(=O)C(=O)c2ccccc2C1=O,0,0,0,0,0,0,0,1,1,0,0
90,CCCCc1ccc(N)cc1,0,0,0,0,0,0,0,-1,-1,0,0
91,Cl.NC(CO)C(O)=NNCc1ccc(O)c(O)c1O,0,-1,0,0,0,-1,0,0,0,0,0
92,CC(C)=CCC/C(C)=C/CC/C(C)=C/CSc1ccccc1C(=O)O,0,0,0,0,0,-1,0,0,0,0,0
93,CCCCN(C)C(=O)n1cc(C(O)=NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c2ccccc21,0,0,1,0,0,0,0,0,0,0,0
94,CCCO,0,0,0,0,0,0,1,-1,-1,0,0
95,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0,1,0,0,0,0,0,0,0,0,0
96,CCCCCCCN=C(O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,0,0,0,0,0,0,1,0,0,0,0
97,Clc1cccc(Cl)n1,0,0,0,0,0,0,0,0,0,0,0
98,O=C(O)[C@@H](c1ccc(OCc2ccc3ccccc3n2)cc1)C1CCCC1,0,0,0,0,0,-1,0,0,0,0,0
99,CC(C)COc1ccc2c(c1)[C@]1(COC(=N)N1)c1cc(-c3cncnc3)ccc1O2,0,0,1,0,0,0,0,0,0,0,0
100,CC1(C)NC(=N)NC(=N)N1OCCCOc1cc(Cl)c(Cl)cc1Cl.Cl,0,0,0,0,1,0,0,0,0,0,0
101,Cc1cccc(N=C(O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1,0,0,0,0,0,-1,0,0,0,0,0
102,N#CCC(=O)c1ccccc1,0,0,0,0,0,-1,0,0,0,0,0
103,CSc1nnc(C(C)(C)C)c(=O)n1N,0,0,0,0,0,0,0,-1,-1,0,0
104,CCN(CC)CCOC(=O)c1ccc(N)cc1.Cl,0,-1,0,0,0,-1,0,0,0,0,0
105,c1nc(N2CCC2)c2nc[nH]c2n1,0,0,0,0,0,0,0,0,0,0,-1
106,Oc1ccccc1Cl,0,0,0,0,0,0,0,-1,-1,0,0
107,CCCCCCCCCCCCCCO,0,0,0,0,0,0,0,0,-1,0,0
108,CCCCn1c(-c2ccccc2)nc(-c2ccccc2)c1CN(Cc1ccc2c(c1)OCO2)Cc1ccc2c(c1)OCO2,0,0,0,0,0,-1,0,0,0,0,0
109,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1,0,0,0,0,0,0,0,0,0,-1,0
110,CCC[C@H](N=C(O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,0,0,0,0,0,-1,0,0,0,0,0
111,CC(O)=NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cn(C34CC5CC(CC(C5)C3)C4)nn2)CCCCC1,0,0,-1,0,0,0,0,0,0,0,0
112,COc1ccc2ccn(CC(O)=NC(=[NH2+])NCc3cc(Cl)c(N=C(C)O)c(Cl)c3)c2c1,0,0,-1,0,0,0,0,0,0,0,0
113,CC(C)Oc1cccc(-n2c(CCc3c[nH]c4ccc(Br)cc34)nc3ccccc3c2=O)c1,0,0,0,0,0,-1,0,0,0,0,0
114,CCCCCCCCCCCCCBr,0,0,0,0,0,0,0,0,-1,0,0
115,Cc1cc(C)c(CN=C(O)c2cc(-c3ccc(N4CCN(C)CC4)nc3)cc3c2c(C)cn3C(C)C)c(O)n1,0,0,0,0,0,-1,0,0,0,0,0
116,CN(C)CCCCCCN(C)C,0,0,0,0,0,0,0,-1,-1,0,0
117,Cc1cc(Cn2cnc3c2C[C@@H](C(=O)O)N(C(=O)C(c2ccccc2)c2ccccc2)C3)ccc1N(C)C,0,0,0,0,0,-1,0,0,0,0,0
118,O=C1CCCN1c1cc(C(O)=N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]Cc2cccc(C(F)(F)F)c2)cn(C2CCCC2)c1=O,0,0,1,0,0,0,0,0,0,0,0
119,NNCCO,0,0,0,0,0,0,0,-1,-1,0,0
120,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,0,-1,0,0,0,0,0,-1,-1,0,0
121,C=CC(C)(O)CCC=C(C)CCC=C(C)C,0,0,0,0,0,0,0,0,-1,0,0
122,CCCCC(CC)C(=O)OC(C)C,0,0,0,0,0,0,0,0,-1,0,0
123,Oc1nc2ccc(Cl)cc2o1,0,0,0,0,0,0,0,-1,-1,0,0
124,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,0,0,0,0,0,-1,0,0,0,-1,0
125,CCN=C(O)NCCCOc1cccc(CN2CCCCC2)c1,0,0,0,0,0,0,0,-1,-1,0,0
126,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,0,-1,0,0,0,-1,0,0,0,-1,0
127,CC[C@H](C)[C@H](N=C(O)[C@H](CCC(=O)O)N=C(O)[C@H](CO)N=C(O)[C@@H](N=C(O)[C@@H](N)CO)C(C)C)C(O)=N[C@@H](CCC(=N)O)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CCSC)C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=N[C@@H](CC(=N)O)C(O)=N[C@@H](CC(C)C)C(O)=NCC(O)=N[C@@H](CCCCN)C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CC(=N)O)C(O)=N[C@@H](CO)C(O)=N[C@@H](CCSC)C(O)=N[C@@H](CCC(=O)O)C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@H](C(O)=N[C@@H](CCC(=O)O)C(O)=N[C@@H](Cc1c[nH]c2ccccc12)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](CCCCN)C(O)=N[C@@H](CCCCN)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CCC(=N)O)C(O)=N[C@@H](CC(=O)O)C(O)=N[C@H](C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=N[C@@H](CC(=N)O)C(O)=N[C@@H](Cc1ccccc1)C(=O)O)C(C)C)C(C)C,-1,0,0,-1,0,0,0,0,0,0,0
128,OC(=Nc1ccccc1)c1cc(Cl)ccc1O,0,0,0,0,0,0,0,0,0,0,0
129,C=CCN1CCCC1CN=C(O)c1cc(S(N)(=O)=O)cc(OC)c1OC,0,0,0,0,0,0,1,-1,-1,0,0
130,CC(C)N(CCO)C(C)C,0,0,0,0,0,0,0,0,-1,0,0
131,OC(=NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,0,0,0,0,0,-1,0,1,1,0,0
132,CC(C)c1cccc2c1OC(C(C)C)C(=S)N2CC(=O)O,0,0,0,0,0,-1,0,0,0,0,0
133,O=[N+]([O-])/C=C/c1ccc2c(c1)OCO2,0,0,0,0,0,-1,0,0,0,0,0
134,CC(C)=CCCC(C)CC=O,0,0,0,0,0,0,0,0,-1,0,0
135,CC(O)=[NH+]c1ccc(CN2CCC3(CC2C)CN(C)S(=O)(=O)N3c2cccc(F)c2)cc1,0,0,-1,0,0,0,0,0,0,0,0
136,C[C@@]1(N)Cc2cccc(c2)CC[C@H](c2ccccc2)N=C(O)c2cc(cc(-c3ccccc3C#[NH+])c2)COC1=O,0,0,1,0,0,0,0,0,0,0,0
137,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,0,0,0,0,0,-1,0,0,0,0,0
138,CN1CCN(C2=Nc3ccccc3Sc3nccn32)CC1,0,0,0,0,0,0,1,0,0,0,0
139,O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1,0,0,0,0,0,0,0,-1,-1,0,0
140,O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1,0,0,0,0,1,0,0,0,0,0,0
141,NC(CC(=O)O)C(=O)O,0,0,0,0,0,0,0,-1,-1,0,0
142,CN(C)CCN(C)n1cc(-c2ccccc2)c2ccccc21,0,0,0,0,0,0,1,0,0,0,0
143,CN1C(=N)NC(c2ccncc2)(c2cccc(-c3cnccn3)c2)C1=O,0,0,1,0,0,0,0,0,0,0,0
144,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-1,0,0,-1,1,0,0,0,0,-1,0
145,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,1,0,0,-1,1,-1,0,0,0,0,0
146,CCC(C)C1(N=C(C)O)CCN(C(C)C(O)=NC(Cc2cc(F)cc(F)c2)C(O)C2CC(O)C[NH2+]2)C1=O,0,0,1,0,0,0,0,0,0,0,0
147,CCN1CCN2CCS(=O)(=O)N(C)C3C=C(C(O)=[NH+]C(Cc4ccccc4)C(O)C[NH2+]Cc4cccc(C(F)(F)F)c4)C=C1C32,0,0,1,0,0,0,0,0,0,0,0
148,O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1CCCCN1CCN(c2ncccn2)CC1,0,-1,0,0,0,-1,0,0,0,0,0
149,N=c1nc(O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O,-1,0,0,-1,1,0,0,0,0,0,0
150,Nc1ccc2cc3ccccc3cc2c1,0,0,0,0,0,0,0,1,1,0,0
151,CCOC(=O)c1ccccc1C(=C1C=C(Br)C(=O)C(Br)=C1)c1cc(Br)c(O)c(Br)c1,0,0,0,0,0,0,0,1,0,0,0
152,CCC(=O)N(c1ccccc1)C1(COC)CC[NH+](CCc2cccs2)CC1,0,0,0,0,0,0,0,0,0,-1,0
153,COc1ccc(CNCC(O)COc2ccc3[nH]c(=O)ccc3c2)cc1OC,0,0,0,0,0,0,0,-1,-1,0,0
154,O=C1CCO1,0,0,0,0,0,0,0,-1,-1,-1,0
155,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21.Cl.Cl,0,0,0,0,0,-1,0,0,0,0,0
156,CC1=C2N=C(C=C3N=C(C(C)=C4N[C@@](C)([C@@H]5N=C1[C@](C)(CCC(O)=NC[C@@H](C)OP(=O)(O)O[C@@H]1[C@@H](CO)O[C@H]([n+]6c[nH]c7cc(C)c(C)cc76)[C@@H]1O)[C@H]5CC(=N)O)[C@@](C)(CC(=N)O)[C@@H]4CCC(=N)[O-])[C@@](C)(CC(=N)O)[C@@H]3CCC(=N)[O-])C(C)(C)[C@@H]2CCC(=N)[O-].[C-]#N.[Co+3],0,-1,0,0,0,0,0,0,0,0,0
157,CCCCOCCOC(=O)COc1nc(Cl)c(Cl)cc1Cl,0,0,0,0,0,0,0,0,-1,0,0
158,OCCN1CC(O)C(O)C(O)C1CO,0,0,0,0,-1,0,0,-1,-1,0,0
159,CN=C(O)Oc1cc(C)c(N(C)C)c(C)c1,0,0,0,0,0,0,0,-1,-1,0,0
160,C=COCCOCCOCCOC=C,0,0,0,0,0,0,0,-1,-1,0,0
161,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl,0,-1,0,0,0,-1,0,0,0,0,0
162,CC(O)=NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(CC(C)C)c2)CCCCC1,0,0,-1,0,0,0,0,0,0,0,0
163,CS(=O)(=O)O.N=C(N)c1cc2ccc(OC(=O)c3cccs3)cc2s1,0,0,0,0,0,-1,0,0,0,0,0
164,Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C(O)=N[C@@H]3CCOC(C)(C)C3)cc2c1,0,0,1,0,0,0,0,0,0,0,0
165,O=C(O)c1cccc(C=C2CC3C(CC(O)C3C=CC(O)C3CCCCC3)O2)c1,0,0,0,0,0,0,0,0,-1,0,0
166,Cl.c1ccc2nc(C3=NCCN3)ccc2c1,0,0,0,0,0,-1,0,0,0,0,0
167,Oc1nc2cc(Cl)ccc2n1C1CCN(CC2COc3ccccc3O2)CC1,0,0,0,0,0,0,1,0,0,0,0
168,CNCCC=C1c2ccccc2C(C)(C)c2ccccc21,0,0,0,0,0,0,1,0,0,0,0
169,C=CCO,0,0,0,0,0,0,0,-1,-1,0,0
170,CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2,0,0,0,0,0,-1,1,0,0,0,0
171,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,0,-1,0,0,0,-1,0,-1,0,0,0
172,CC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,0,0,0,0,0,0,0,-1,-1,0,0
173,CCc1cn(C2CC(O)C(CO)O2)c(=O)nc1O,0,0,0,0,0,0,0,-1,-1,0,0
174,CCCCCCCCOCCCN,0,0,0,0,0,0,0,1,-1,0,0
175,Cl.FC(F)(F)c1cccc(C2=CCN(CCc3ccc4ccccc4c3)CC2)c1,0,0,0,0,0,-1,0,0,0,0,0
176,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](N=C(O)[C@@H]3C=C4c5cccc6c5C(=C(Br)[NH2+]6)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,0,0,0,0,0,0,0,0,0,-1,0
177,CO[C@@]1(N=C([O-])C2SC(=C(C(N)=O)C(=O)[O-])S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,0,0,0,0,0,0,0,0,0,-1,0
178,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,0,0,0,0,0,-1,0,0,0,0,0
179,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,0,0,0,0,-1,0,0,0,0,0,0
180,N=C(O)CF,0,0,0,0,0,0,0,-1,-1,0,0
181,N#CCC(C1CCCC1)n1cc(-c2nc[nH]c3nccc2-3)cn1,0,0,0,0,1,0,0,0,0,0,0
182,CCCCC=CCCCCCCCCCC=O,0,0,0,0,0,0,0,-1,-1,0,0
183,C=Cc1ccc(C)cc1,0,0,0,0,0,0,0,-1,-1,0,0
184,CCc1ccc2c(c1)[C@@H]([NH2+]C[C@@H](O)[C@@H]1Cc3cccc(c3)CCCCCCCC(O)=N1)CC1(CCC1)O2,0,0,1,0,0,0,0,0,0,0,0
185,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)[O-])C(C)(C)CCC1,0,0,0,0,0,0,0,0,0,-1,0
186,CCCCCCCCCOS(=O)(=O)O,0,0,0,0,0,0,0,-1,-1,0,0
187,CCCCC1CCC(=O)O1,0,0,0,0,0,0,0,-1,-1,0,0
188,CC(O)=Nc1ccccc1,0,-1,0,0,0,-1,0,0,-1,0,0
189,Cc1ncsc1CCO,0,0,0,0,0,0,0,-1,-1,0,0
190,COC(=O)C(C)O,0,0,0,0,0,0,0,-1,-1,0,0
